"step","time","S","I","R"
422,422,17439,0,82571
423,423,17439,0,82571
424,424,17439,0,82571
425,425,17439,0,82571
426,426,17439,0,82571
427,427,17439,0,82571
428,428,17439,0,82571
429,429,17439,0,82571
430,430,17439,0,82571
431,431,17439,0,82571
432,432,17439,0,82571
433,433,17439,0,82571
434,434,17439,0,82571
435,435,17439,0,82571
436,436,17439,0,82571
437,437,17439,0,82571
438,438,17439,0,82571
439,439,17439,0,82571
440,440,17439,0,82571
441,441,17439,0,82571
442,442,17439,0,82571
443,443,17439,0,82571
444,444,17439,0,82571
445,445,17439,0,82571
446,446,17439,0,82571
447,447,17439,0,82571
448,448,17439,0,82571
449,449,17439,0,82571
450,450,17439,0,82571
451,451,17439,0,82571
452,452,17439,0,82571
453,453,17439,0,82571
454,454,17439,0,82571
455,455,17439,0,82571
456,456,17439,0,82571
457,457,17439,0,82571
458,458,17439,0,82571
459,459,17439,0,82571
460,460,17439,0,82571
461,461,17439,0,82571
462,462,17439,0,82571
463,463,17439,0,82571
464,464,17439,0,82571
465,465,17439,0,82571
466,466,17439,0,82571
467,467,17439,0,82571
468,468,17439,0,82571
469,469,17439,0,82571
470,470,17439,0,82571
471,471,17439,0,82571
472,472,17439,0,82571
473,473,17439,0,82571
474,474,17439,0,82571
475,475,17439,0,82571
476,476,17439,0,82571
477,477,17439,0,82571
478,478,17439,0,82571
479,479,17439,0,82571
480,480,17439,0,82571
481,481,17439,0,82571
482,482,17439,0,82571
483,483,17439,0,82571
484,484,17439,0,82571
485,485,17439,0,82571
486,486,17439,0,82571
487,487,17439,0,82571
488,488,17439,0,82571
489,489,17439,0,82571
490,490,17439,0,82571
491,491,17439,0,82571
492,492,17439,0,82571
493,493,17439,0,82571
494,494,17439,0,82571
495,495,17439,0,82571
496,496,17439,0,82571
497,497,17439,0,82571
498,498,17439,0,82571
499,499,17439,0,82571
500,500,17439,0,82571
501,501,17439,0,82571
502,502,17439,0,82571
503,503,17439,0,82571
504,504,17439,0,82571
505,505,17439,0,82571
506,506,17439,0,82571
507,507,17439,0,82571
508,508,17439,0,82571
509,509,17439,0,82571
510,510,17439,0,82571
511,511,17439,0,82571
512,512,17439,0,82571
513,513,17439,0,82571
514,514,17439,0,82571
515,515,17439,0,82571
516,516,17439,0,82571
517,517,17439,0,82571
518,518,17439,0,82571
519,519,17439,0,82571
520,520,17439,0,82571
521,521,17439,0,82571
522,522,17439,0,82571
523,523,17439,0,82571
524,524,17439,0,82571
525,525,17439,0,82571
526,526,17439,0,82571
527,527,17439,0,82571
528,528,17439,0,82571
529,529,17439,0,82571
530,530,17439,0,82571
531,531,17439,0,82571
532,532,17439,0,82571
533,533,17439,0,82571
534,534,17439,0,82571
535,535,17439,0,82571
536,536,17439,0,82571
537,537,17439,0,82571
538,538,17439,0,82571
539,539,17439,0,82571
540,540,17439,0,82571
541,541,17439,0,82571
542,542,17439,0,82571
543,543,17439,0,82571
544,544,17439,0,82571
545,545,17439,0,82571
546,546,17439,0,82571
547,547,17439,0,82571
548,548,17439,0,82571
549,549,17439,0,82571
550,550,17439,0,82571
551,551,17439,0,82571
552,552,17439,0,82571
553,553,17439,0,82571
554,554,17439,0,82571
555,555,17439,0,82571
556,556,17439,0,82571
557,557,17439,0,82571
558,558,17439,0,82571
559,559,17439,0,82571
560,560,17439,0,82571
561,561,17439,0,82571
562,562,17439,0,82571
563,563,17439,0,82571
564,564,17439,0,82571
565,565,17439,0,82571
566,566,17439,0,82571
567,567,17439,0,82571
568,568,17439,0,82571
569,569,17439,0,82571
570,570,17439,0,82571
571,571,17439,0,82571
572,572,17439,0,82571
573,573,17439,0,82571
574,574,17439,0,82571
575,575,17439,0,82571
576,576,17439,0,82571
577,577,17439,0,82571
578,578,17439,0,82571
579,579,17439,0,82571
580,580,17439,0,82571
581,581,17439,0,82571
582,582,17439,0,82571
583,583,17439,0,82571
584,584,17439,0,82571
585,585,17439,0,82571
586,586,17439,0,82571
587,587,17439,0,82571
588,588,17439,0,82571
589,589,17439,0,82571
590,590,17439,0,82571
591,591,17439,0,82571
